model,propagation_depth,c_value,alpha,val_acc
sgc,2,0.01,,0.658
sgc,2,0.03,,0.666
sgc,2,0.1,,0.654
sgc,3,0.01,,0.68
sgc,3,0.03,,0.674
sgc,3,0.1,,0.678
sgc,4,0.01,,0.71
sgc,4,0.03,,0.712
sgc,4,0.1,,0.708
label_propagation,,,0.9,0.704
label_propagation,,,0.95,0.704
label_propagation,,,0.98,0.708
label_propagation,,,0.99,0.712
